Local,Resultado,Visitante,Link
SERVIGROUP BENIDORM,DOMINGO 09/03/2025 18:30,ADESAVI A,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415315
CBI ELCHE X MAXIWATT,DOMINGO 16/03/2025 18:45,SERVIGROUP BENIDORM,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415316
ADESAVI A,DOMINGO 16/03/2025 12:00,UCAM MURCIA JUVER C.B.,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415317
SERCOMOSA MOLINA BASKET,SÁBADO 15/03/2025 20:00,KLINIK · PM CAROLINAS,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415318
RIGALLI ALGINET,DOMINGO 16/03/2025 18:00,C.B. JORGE JUAN TÁRTAROS GONZALO CASTELLÓ,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415319
ESET ONTINET,DOMINGO 16/03/2025 18:30,REAL MURCIA BALONCESTO,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415321
LUCENTUM ALICANTE,DOMINGO 16/03/2025 12:30,CLUB BÀSQUET SUECA VIDRIOLA INMOBLES,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415322
LUCENTUM ALICANTE,DOMINGO 23/03/2025 12:30,CBI ELCHE X MAXIWATT,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415323
CLUB BÀSQUET SUECA VIDRIOLA INMOBLES,SÁBADO 22/03/2025 19:00,ESET ONTINET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415324
REAL MURCIA BALONCESTO,DOMINGO 23/03/2025 12:00,DENIA BASQUET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415325
RIGALLI ALGINET,DOMINGO 23/03/2025 18:00,SERCOMOSA MOLINA BASKET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415327
KLINIK · PM CAROLINAS,SÁBADO 22/03/2025 19:00,ADESAVI A,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415328
UCAM MURCIA JUVER C.B.,SÁBADO 22/03/2025 18:30,SERVIGROUP BENIDORM,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415329
CBI ELCHE X MAXIWATT,DOMINGO 30/03/2025 18:45,UCAM MURCIA JUVER C.B.,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415330
SERVIGROUP BENIDORM,DOMINGO 30/03/2025 18:30,KLINIK · PM CAROLINAS,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415331
ADESAVI A,DOMINGO 30/03/2025 12:00,RIGALLI ALGINET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415332
C.B. JORGE JUAN TÁRTAROS GONZALO CASTELLÓ,DOMINGO 30/03/2025 19:00,REAL MURCIA BALONCESTO,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415334
DENIA BASQUET,SÁBADO 29/03/2025 19:30,CLUB BÀSQUET SUECA VIDRIOLA INMOBLES,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415335
ESET ONTINET,DOMINGO 30/03/2025 18:30,LUCENTUM ALICANTE,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415336
ESET ONTINET,DOMINGO 06/04/2025 18:30,CBI ELCHE X MAXIWATT,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415337
LUCENTUM ALICANTE,DOMINGO 06/04/2025 12:30,DENIA BASQUET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415338
CLUB BÀSQUET SUECA VIDRIOLA INMOBLES,SÁBADO 05/04/2025 19:00,C.B. JORGE JUAN TÁRTAROS GONZALO CASTELLÓ,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415339
REAL MURCIA BALONCESTO,DOMINGO 06/04/2025 12:00,SERCOMOSA MOLINA BASKET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415340
RIGALLI ALGINET,DOMINGO 06/04/2025 18:00,SERVIGROUP BENIDORM,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415342
KLINIK · PM CAROLINAS,SÁBADO 05/04/2025 19:00,UCAM MURCIA JUVER C.B.,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415343
